compound,compound noun,compound noun_tag,original sentence,original sentence_tag,entire original sentence,entire original sentence_tag,original head only,original head only_tag,original modifier only,original modifier only_tag,generic modifier,generic modifier_tag,generic head,generic head_tag,synonym modifier,synonym modifier_tag,synonym head,synonym head_tag,synonym both,synonym both_tag,synonym for compound,synonym for compound_tag,nc rand freq sentence1,nc rand freq sentence1_tag,nc rand sentence1,nc rand sentence1_tag,nc rand freq sentence2,nc rand freq sentence2_tag,nc rand sentence2,nc rand sentence2_tag,nc rand freq sentence3,nc rand freq sentence3_tag,nc rand sentence3,nc rand sentence3_tag,nc rand freq sentence4,nc rand freq sentence4_tag,nc rand sentence4,nc rand sentence4_tag,nc rand freq sentence5,nc rand freq sentence5_tag,nc rand sentence5,nc rand sentence5_tag
colégio militar,colégio militar,"[True, True]",Ela tem apenas 18 anos e cursa o último ano no colégio militar de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no colégio militar de Porto Alegre .,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",Ela tem apenas 18 anos e cursa o último ano no colégio de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no militar de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no colégio normal de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no coiso militar de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no colégio bélico de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano na escola militar de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano na escola bélica de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano na escola militar de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no estado viável de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no ar livre de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no direito parlamentar de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no pau-mandado de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no conteúdo mínimo de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no agente secreto de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no apoio verdadeiro de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no relógio analógico de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no esclarecimento importante de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]",Ela tem apenas 18 anos e cursa o último ano no pavio curto de Porto Alegre .,"[False, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False]"
coluna social,colunas sociais,"[True, True]",O casal foi o assunto em todas as colunas sociais .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todas as colunas sociais .,"[True, True, True, True, True, True, True, True, True, True, True]",O casal foi o assunto em todas as colunas .,"[False, False, False, False, False, False, False, False, True, False]",O casal foi o assunto em todas as sociais .,"[False, False, False, False, False, False, False, False, True, False]",O casal foi o assunto em todas as colunas normais .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todas as coisas sociais .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todas as colunas comunitárias .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todos os pilares sociais .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todos os pilares comunitários .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todas as colunas de fofoca .,"[False, False, False, False, False, False, False, False, True, True, True, False]",O casal foi o assunto em todas as atividades diferentes .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todas as cordas vocais .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todo o regime brasileiro .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todas as carnes brancas .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todas as leis principais .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todas as rodas gigante .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todas as escolas diferentes .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todas as escadas rolantes .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todas as companhias principais .,"[False, False, False, False, False, False, False, False, True, True, False]",O casal foi o assunto em todas as contas-correntes .,"[False, False, False, False, False, False, False, False, True, False]"
comida caseira,comida caseira,"[True, True]",Deve estar habituado a comida caseira porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a comida caseira porque só quer latas de comida .,"[True, True, True, True, True, True, True, True, True, True, True, True, True]",Deve estar habituado a comida porque só quer latas de comida .,"[False, False, False, False, True, False, False, False, False, False, False, False]",Deve estar habituado a caseira porque só quer latas de comida .,"[False, False, False, False, True, False, False, False, False, False, False, False]",Deve estar habituado a comida normal porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a coisa caseira porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a comida doméstica porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a alimento caseiro porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a alimento doméstico porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a comida feita em casa porque só quer latas de comida .,"[False, False, False, False, True, True, True, True, False, False, False, False, False, False, False]",Deve estar habituado a pressões partidárias porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a primeira mão porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a princípio contabilístico porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a reta final porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a cuidados clínicos porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a companhia aérea porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a discussões jurídicas porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a mesa-redonda porque só quer latas de comida .,"[False, False, False, False, True, False, False, False, False, False, False, False]",Deve estar habituado a reflexão inteligente porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]",Deve estar habituado a câmara fria porque só quer latas de comida .,"[False, False, False, False, True, True, False, False, False, False, False, False, False]"
companhia aérea,companhia aérea,"[True, True]",A TAM linhas aéreas é uma companhia aérea brasileira .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é uma companhia aérea brasileira .,"[True, True, True, True, True, True, True, True, True, True]",A TAM linhas aéreas é uma companhia brasileira .,"[False, False, False, False, False, False, True, False, False]",A TAM linhas aéreas é uma aérea brasileira .,"[False, False, False, False, False, False, True, False, False]",A TAM linhas aéreas é uma companhia normal brasileira .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é uma coisa aérea brasileira .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é uma companhia aeronáutica brasileira .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é uma empresa aérea brasileira .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é uma empresa aeronáutica brasileira .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é uma empresa aérea brasileira .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é um revezamento americano brasileiro .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é uma pente fino brasileira .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é um malogro total brasileiro .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é uma carta aberta brasileira .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é um plano técnico brasileiro .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é uma má-fé brasileira .,"[False, False, False, False, False, False, True, False, False]",A TAM linhas aéreas é um prazo restante brasileiro .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é uma carne vermelha brasileira .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é uma dissipação total brasileira .,"[False, False, False, False, False, False, True, True, False, False]",A TAM linhas aéreas é uma água doce brasileira .,"[False, False, False, False, False, False, True, True, False, False]"
conta-corrente,contas-correntes,[True],O governo britânico ameaçou congelar poupanças islandesas e contas-correntes .,"[False, False, False, False, False, False, False, False, True, False]",O governo britânico ameaçou congelar poupanças islandesas e contas-correntes .,"[True, True, True, True, True, True, True, True, True, True]",O governo britânico ameaçou congelar poupanças islandesas e contas .,"[False, False, False, False, False, False, False, False, True, False]",O governo britânico ameaçou congelar poupanças islandesas e correntes .,"[False, False, False, False, False, False, False, False, True, False]",O governo britânico ameaçou congelar poupanças islandesas e contas normais .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e coisas correntes .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e contas ordinárias .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e contagens correntes .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e contagens ordinárias .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e contas bancárias .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e antiga fortaleza .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e carnes brancas .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e devoção popular .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e escadas rolantes .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e ambiente amigável .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e segundas intenções .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e valores iguais .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e salas cirúrgicas .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e antiga orquestra .,"[False, False, False, False, False, False, False, False, True, True, False]",O governo britânico ameaçou congelar poupanças islandesas e armas brancas .,"[False, False, False, False, False, False, False, False, True, True, False]"
coração partido,coração partido,"[True, True]","Está com o coração partido , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com o coração partido , sangrando por dentro ?","[True, True, True, True, True, True, True, True, True, True]","Está com o coração , sangrando por dentro ?","[False, False, False, True, False, False, False, False, False]","Está com o partido , sangrando por dentro ?","[False, False, False, True, False, False, False, False, False]","Está com o coração normal , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com o coiso partido , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com o coração quebrado , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com a alma partida , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com a alma quebrada , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com uma decepção amorosa , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com o domínio inglês , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com o puro-sangue , sangrando por dentro ?","[False, False, False, True, False, False, False, False, False]","Está com o caso escandaloso , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com o Processo seletivo , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com o verdadeiro manual , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com o trabalho braçal , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com o dinâmico ambiente , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com o peso morto , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com a resposta inglesa , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]","Está com o regime político , sangrando por dentro ?","[False, False, False, True, True, False, False, False, False, False]"
corda bamba,corda bamba,"[True, True]","Você está sempre à beira do erro , na corda bamba .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , na corda bamba .","[True, True, True, True, True, True, True, True, True, True, True, True]","Você está sempre à beira do erro , na corda .","[False, False, False, False, False, False, False, False, False, True, False]","Você está sempre à beira do erro , na bamba .","[False, False, False, False, False, False, False, False, False, True, False]","Você está sempre à beira do erro , na corda normal .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , na coisa bamba .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , na corda lassa .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , no cabo bambo .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , no cabo lasso .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , em situação delicada .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , nas flores murchas .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , na alta temporada .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , nos costumes tribais .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , na comida caseira .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , nas construções inacabadas .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , na caixa-preta .","[False, False, False, False, False, False, False, False, False, True, False]","Você está sempre à beira do erro , no idioma malaio .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , na câmara fria .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , nos males espirituais .","[False, False, False, False, False, False, False, False, False, True, True, False]","Você está sempre à beira do erro , na alta-costura .","[False, False, False, False, False, False, False, False, False, True, False]"
cordas vocais,cordas vocais,"[True, True]","Sussurrar não poupa as cordas vocais , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as cordas vocais , muito pelo contrário .","[True, True, True, True, True, True, True, True, True, True, True]","Sussurrar não poupa as cordas , muito pelo contrário .","[False, False, False, False, True, False, False, False, False, False]","Sussurrar não poupa as vocais , muito pelo contrário .","[False, False, False, False, True, False, False, False, False, False]","Sussurrar não poupa as cordas normais , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as coisas vocais , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as cordas orais , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa os cabos vocais , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa os cabos orais , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as pregas vocais , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as ervas anuais , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as luas novas , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as mentira terrível , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as redes sociais , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa o camareiro imperial , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as salas cirúrgicas , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as histórias lindas , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as escadas rolantes , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as passagens alternativas , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]","Sussurrar não poupa as armas brancas , muito pelo contrário .","[False, False, False, False, True, True, False, False, False, False, False]"
curto-circuito,curto-circuito,[True],A memória entra em curto-circuito .,"[False, False, False, False, True, False]",A memória entra em curto-circuito .,"[True, True, True, True, True, True]",A memória entra em curto .,"[False, False, False, False, True, False]",A memória entra em circuito .,"[False, False, False, False, True, False]",A memória entra em curto normal .,"[False, False, False, False, True, True, False]",A memória entra em coiso circuito .,"[False, False, False, False, True, True, False]",A memória entra em contorno curto .,"[False, False, False, False, True, True, False]",A memória entra em circuito limitado .,"[False, False, False, False, True, True, False]",A memória entra em contorno limitado .,"[False, False, False, False, True, True, False]",A memória entra em problema elétrico .,"[False, False, False, False, True, True, False]",A memória entra em capacidade impressionante .,"[False, False, False, False, True, True, False]",A memória entra em mau contato .,"[False, False, False, False, True, True, False]",A memória entra em fins policiais .,"[False, False, False, False, True, True, False]",A memória entra em mão-fechada .,"[False, False, False, False, True, False]",A memória entra em verdadeira simplificação .,"[False, False, False, False, True, True, False]",A memória entra em colégio militar .,"[False, False, False, False, True, True, False]",A memória entra em motorista alemão .,"[False, False, False, False, True, True, False]",A memória entra em ano-novo .,"[False, False, False, False, True, False]",A memória entra em âmbito ambiental .,"[False, False, False, False, True, True, False]",A memória entra em pavio curto .,"[False, False, False, False, True, True, False]"
deputado federal,deputado federal,"[True, True]",Ele quer se candidatar a deputado federal em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar a deputado federal em 2014 .,"[True, True, True, True, True, True, True, True, True, True]",Ele quer se candidatar a deputado em 2014 .,"[False, False, False, False, False, True, False, False, False]",Ele quer se candidatar a federal em 2014 .,"[False, False, False, False, False, True, False, False, False]",Ele quer se candidatar a deputado normal em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar a coiso federal em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar a deputado federalista em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar a representante federal em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar a representante federalista em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar a política em 2014 .,"[False, False, False, False, False, True, False, False, False]",Ele quer se candidatar à forma fina em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar a ano-novo em 2014 .,"[False, False, False, False, False, True, False, False, False]",Ele quer se candidatar à forma delicada em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar a pronto-socorro em 2014 .,"[False, False, False, False, False, True, False, False, False]",Ele quer se candidatar à boa estrela em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar a governo federal em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar à forma resultante em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar a bode expiatório em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar à emancipação política em 2014 .,"[False, False, False, False, False, True, True, False, False, False]",Ele quer se candidatar a sistema político em 2014 .,"[False, False, False, False, False, True, True, False, False, False]"
desfile militar,desfiles militares,"[True, True]",Durante este festival os Sikhs realizam desfiles militares e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam desfiles militares e espectáculos de artes marciais .,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True]",Durante este festival os Sikhs realizam desfiles e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam militares e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam desfiles normais e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam coisos militares e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam desfiles bélicos e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam marchas militares e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam marchas bélicas e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam paradas militares e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam problemas intelectuais e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam ônibus executivos e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam políticos britânicos e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam salões paroquiais e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam natureza pessoal e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam navios negreiros e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam conjuntura geral e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam buracos negros e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam projeção oficial e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, True, False, False, False, False, False, False]",Durante este festival os Sikhs realizam lugares-comuns e espectáculos de artes marciais .,"[False, False, False, False, False, False, True, False, False, False, False, False, False]"
direitos humanos,direitos humanos,"[True, True]",Os crimes relacionados com direitos humanos prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com direitos humanos prescrevem ?,"[True, True, True, True, True, True, True, True]",Os crimes relacionados com direitos prescrevem ?,"[False, False, False, False, True, False, False]",Os crimes relacionados com humanos prescrevem ?,"[False, False, False, False, True, False, False]",Os crimes relacionados com direitos normais prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com coisos humanos prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com direitos humanais prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com benefícios humanos prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com benefícios humanais prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com direitos prescrevem ?,"[False, False, False, False, True, False, False]",Os crimes relacionados com maior ano prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com pastores alemães prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com ano maior prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com vôos internacionais prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com boa nova prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com desfiles militares prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com política nova prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com discos voadores prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com maior sistema prescrevem ?,"[False, False, False, False, True, True, False, False]",Os crimes relacionados com golpes baixos prescrevem ?,"[False, False, False, False, True, True, False, False]"
disco rígido,disco rígido,"[True, True]",Os spywares exploram os cookies armazenados no disco rígido .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados no disco rígido .,"[True, True, True, True, True, True, True, True, True, True]",Os spywares exploram os cookies armazenados no disco .,"[False, False, False, False, False, False, False, True, False]",Os spywares exploram os cookies armazenados no rígido .,"[False, False, False, False, False, False, False, True, False]",Os spywares exploram os cookies armazenados no disco normal .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados no coiso rígido .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados no disco rijo .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados no círculo rígido .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados no círculo rijo .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados no hd .,"[False, False, False, False, False, False, False, True, False]",Os spywares exploram os cookies armazenados na fortificação original .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados no tempo real .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados no possível pai .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados no ano-novo .,"[False, False, False, False, False, False, False, True, False]",Os spywares exploram os cookies armazenados na produção itinerante .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados no mau contato .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados na atual ortografia .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados no regime político .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados na quota média .,"[False, False, False, False, False, False, False, True, True, False]",Os spywares exploram os cookies armazenados no Pé-frio .,"[False, False, False, False, False, False, False, True, False]"
