compound,compound noun,compound noun_tag,neutral sentence,original sentence_tag,neutral sentence plural,neutral sentence plural_tag,entire neutral sentence,entire neutral sentence_tag,original modifier only,original modifier only_tag,original head only,original head only_tag,head only plural,head only plural_tag,modifier hypernym,modifier hypernym_tag,head hypernym,head hypernym_tag,synonym for compound,synonym for compound_tag,mwe synonym plural,mwe synonym plural_tag,modifier synonym,modifier synonym_tag,head synonym,head synonym_tag,head synonym plural,head synonym plural_tag,synonym both,synonym both_tag,both synonyms plural,both synonyms plural_tag,only mwe synonym,only mwe synonym_tag,nc rand freq sentence5,nc rand freq sentence5_tag,nc rand freq sentence1,nc rand freq sentence1_tag,nc rand sentence1,nc rand sentence1_tag,nc rand freq sentence2,nc rand freq sentence2_tag,nc rand sentence2,nc rand sentence2_tag,nc rand freq sentence3,nc rand freq sentence3_tag,nc rand sentence3,nc rand sentence3_tag,nc rand freq sentence4,nc rand freq sentence4_tag,nc rand sentence4,nc rand sentence4_tag,nc rand sentence5,nc rand sentence5_tag,compound noun head,compound noun head_tag,compound noun modifier,compound noun modifier_tag,only both synonyms,only both synonyms_tag
caixa-forte,caixa-forte,[True],Esta é uma caixa-forte .,"[False, False, False, True, False]",Estas são caixas-fortes .,"[False, False, True, False]",Esta é uma caixa-forte . ,"[True, True, True, True, True]",Esta é uma forte .,"[False, False, False, True, False]",Esta é uma caixa .,"[False, False, False, True, False]",Estas são caixas .,"[False, False, True, False]",Esta é uma caixa normal .,"[False, False, False, True, True, False]",Esta é uma coisa forte .,"[False, False, False, True, True, False]",Este é um cofre .,"[False, False, False, True, False]",Estes são cofres .,"[False, False, True, False]",Esta é uma caixa dura .,"[False, False, False, True, True, False]",Esta é uma arca forte .,"[False, False, False, True, True, False]",Estas são arcas fortes .,"[False, False, True, True, False]",Esta é uma arca dura .,"[False, False, False, True, True, False]",Estas são arcas duras .,"[False, False, True, True, False]",cofre,[True],Estas são relações industriais .,"[False, False, True, True, False]",Estas são próprias informações .,"[False, False, True, True, False]",Estas são segundas intenções .,"[False, False, True, True, False]",Estas são medidas legislativas .,"[False, False, True, True, False]",Estas são luas cheias .,"[False, False, True, True, False]",Estas são cadeiras musicais .,"[False, False, True, True, False]",Estas são carnes brancas .,"[False, False, True, True, False]",Estas são contribuições nacionais .,"[False, False, True, True, False]",Estas são salas cirúrgicas .,"[False, False, True, True, False]",Estas são armas brancas .,"[False, False, True, True, False]",caixa,[True],forte,[True],arca dura,"[True, True]"
caixa-preta,caixa-preta,[True],Esta é uma caixa-preta .,"[False, False, False, True, False]",Estas são caixas-pretas .,"[False, False, True, False]",Esta é uma caixa-preta . ,"[True, True, True, True, True]",Esta é uma preta .,"[False, False, False, True, False]",Esta é uma caixa .,"[False, False, False, True, False]",Estas são caixas .,"[False, False, True, False]",Esta é uma caixa normal .,"[False, False, False, True, True, False]",Esta é uma coisa preta .,"[False, False, False, True, True, False]",Este é um segredo .,"[False, False, False, True, False]",Estes são segredos .,"[False, False, True, False]",Esta é uma caixa negra .,"[False, False, False, True, True, False]",Esta é uma arca preta .,"[False, False, False, True, True, False]",Estas são arcas pretas .,"[False, False, True, True, False]",Esta é uma arca negra .,"[False, False, False, True, True, False]",Estas são arcas negras .,"[False, False, True, True, False]",segredo,[True],Esta é uma matriz democrática .,"[False, False, False, True, True, False]",Esta é uma troca directa .,"[False, False, False, True, True, False]",Esta é uma viva voz .,"[False, False, False, True, True, False]",Esta é uma ampla trajetória .,"[False, False, False, True, True, False]",Esta é uma batata-doce .,"[False, False, False, True, False]",Esta é uma estrela morta .,"[False, False, False, True, True, False]",Esta é uma classe executiva .,"[False, False, False, True, True, False]",Esta é uma atitude simbólica .,"[False, False, False, True, True, False]",Esta é uma planta baixa .,"[False, False, False, True, True, False]",Esta é uma tela plana .,"[False, False, False, True, True, False]",caixa,[True],preta,[True],arca negra,"[True, True]"
caixeiro viajante,caixeiro viajante,"[True, True]",Este é um caixeiro viajante .,"[False, False, False, True, True, False]",Estes são caixeiros viajantes .,"[False, False, True, True, False]",Este é um caixeiro viajante . ,"[True, True, True, True, True, True]",Este é um viajante .,"[False, False, False, True, False]",Este é um caixeiro .,"[False, False, False, True, False]",Estes são caixeiros .,"[False, False, True, False]",Este é um caixeiro normal .,"[False, False, False, True, True, False]",Este é um coiso viajante .,"[False, False, False, True, True, False]",Este é um vendedor ambulante .,"[False, False, False, True, True, False]",Estes são vendedores ambulantes .,"[False, False, True, True, False]",Este é um caixeiro viageiro .,"[False, False, False, True, True, False]",Este é um empregado viajante .,"[False, False, False, True, True, False]",Estes são empregados viajantes .,"[False, False, True, True, False]",Este é um empregado viageiro .,"[False, False, False, True, True, False]",Estes são empregados viageiros .,"[False, False, True, True, False]",vendedor ambulante,"[True, True]",Este é um monge agostiniano .,"[False, False, False, True, True, False]",Este é um sobressalto cívico .,"[False, False, False, True, True, False]",Este é um ano-novo .,"[False, False, False, True, False]",Este é um manuscrito anônimo .,"[False, False, False, True, True, False]",Este é um círculo vicioso .,"[False, False, False, True, True, False]",Este é um parâmetro estatístico .,"[False, False, False, True, True, False]",Este é um vinho branco .,"[False, False, False, True, True, False]",Este é um honroso convite .,"[False, False, False, True, True, False]",Este é um pão-duro .,"[False, False, False, True, False]",Este é um colégio militar .,"[False, False, False, True, True, False]",caixeiro,[True],viajante,[True],empregado viageiro,"[True, True]"
câmara fria,câmara fria,"[True, True]",Esta é uma câmara fria .,"[False, False, False, True, True, False]",Estas são câmaras frias .,"[False, False, True, True, False]",Esta é uma câmara fria . ,"[True, True, True, True, True, True]",Esta é uma fria .,"[False, False, False, True, False]",Esta é uma câmara .,"[False, False, False, True, False]",Estas são câmaras .,"[False, False, True, False]",Esta é uma câmara normal .,"[False, False, False, True, True, False]",Esta é uma coisa fria .,"[False, False, False, True, True, False]",Este é um refrigerador .,"[False, False, False, True, False]",Estes são refrigeradores .,"[False, False, True, False]",Esta é uma câmara fresca .,"[False, False, False, True, True, False]",Este é um compartimento frio .,"[False, False, False, True, True, False]",Estes são compartimentos frios .,"[False, False, True, True, False]",Este é um compartimento fresco .,"[False, False, False, True, True, False]",Estes são compartimentos frescos .,"[False, False, True, True, False]",refrigerador,[True],Esta é uma terra propícia .,"[False, False, False, True, True, False]",Esta é uma esfera específica .,"[False, False, False, True, True, False]",Esta é uma roda gigante .,"[False, False, False, True, True, False]",Esta é uma presunção relativa .,"[False, False, False, True, True, False]",Esta é uma longa-metragem .,"[False, False, False, True, False]",Esta é uma comitiva presidencial .,"[False, False, False, True, True, False]",Esta é uma corda bamba .,"[False, False, False, True, True, False]",Esta é uma estratégia tucana .,"[False, False, False, True, True, False]",Esta é uma lista negra .,"[False, False, False, True, True, False]",Esta é uma estrela cadente .,"[False, False, False, True, True, False]",câmara,[True],fria,[True],compartimento fresco,"[True, True]"
carne branca,carne branca,"[True, True]",Esta é uma carne branca .,"[False, False, False, True, True, False]",Estas são carnes brancas .,"[False, False, True, True, False]",Esta é uma carne branca . ,"[True, True, True, True, True, True]",Esta é uma branca .,"[False, False, False, True, False]",Esta é uma carne .,"[False, False, False, True, False]",Estas são carnes .,"[False, False, True, False]",Esta é uma carne normal .,"[False, False, False, True, True, False]",Esta é uma coisa branca .,"[False, False, False, True, True, False]",Esta é uma carne de peixe .,"[False, False, False, True, True, True, False]",Estas são carnes de peixe .,"[False, False, True, True, True, False]",Esta é uma carne alva .,"[False, False, False, True, True, False]",Este é um bife branco .,"[False, False, False, True, True, False]",Estes são bifes brancos .,"[False, False, True, True, False]",Este é um bife alvo .,"[False, False, False, True, True, False]",Estes são bifes alvos .,"[False, False, True, True, False]",carne de peixe,"[True, True, True]",Estas são viagens profissionais .,"[False, False, True, True, False]",Estas são correntes atuais .,"[False, False, True, True, False]",Estas são redes sociais .,"[False, False, True, True, False]",Estas são reações comuns .,"[False, False, True, True, False]",Estas são caixas-fortes .,"[False, False, True, False]",Estas são águas perigosas .,"[False, False, True, True, False]",Estas são armas brancas .,"[False, False, True, True, False]",Estas são fortes transações .,"[False, False, True, True, False]",Estas são contas-correntes .,"[False, False, True, False]",Estas são luas novas .,"[False, False, True, True, False]",carne,[True],branca,[True],bife alvo,"[True, True]"
carne vermelha,carne vermelha,"[True, True]",Esta é uma carne vermelha .,"[False, False, False, True, True, False]",Estas são carnes vermelhas .,"[False, False, True, True, False]",Esta é uma carne vermelha . ,"[True, True, True, True, True, True]",Esta é uma vermelha .,"[False, False, False, True, False]",Esta é uma carne .,"[False, False, False, True, False]",Estas são carnes .,"[False, False, True, False]",Esta é uma carne normal .,"[False, False, False, True, True, False]",Esta é uma coisa vermelha .,"[False, False, False, True, True, False]",Esta é uma carne bovina .,"[False, False, False, True, True, False]",Estas são carnes bovinas .,"[False, False, True, True, False]",Esta é uma carne encarnada .,"[False, False, False, True, True, False]",Este é um bife vermelho .,"[False, False, False, True, True, False]",Estes são bifes vermelhos .,"[False, False, True, True, False]",Este é um bife encarnado .,"[False, False, False, True, True, False]",Estes são bifes encarnados .,"[False, False, True, True, False]",carne bovina,"[True, True]",Esta é uma suspeição permanente .,"[False, False, False, True, True, False]",Esta é uma prática governativa .,"[False, False, False, True, True, False]",Esta é uma comida caseira .,"[False, False, False, True, True, False]",Esta é uma infância espiritual .,"[False, False, False, True, True, False]",Esta é uma primeira mão .,"[False, False, False, True, True, False]",Esta é uma paixão moral .,"[False, False, False, True, True, False]",Esta é uma farinha integral .,"[False, False, False, True, True, False]",Esta é uma abordagem editorial .,"[False, False, False, True, True, False]",Esta é uma primeira necessidade .,"[False, False, False, True, True, False]",Esta é uma corda bamba .,"[False, False, False, True, True, False]",carne,[True],vermelha,[True],bife encarnado,"[True, True]"
carro-forte,carro-forte,[True],Este é um carro-forte .,"[False, False, False, True, False]",Estes são carros-fortes .,"[False, False, True, False]",Este é um carro-forte . ,"[True, True, True, True, True]",Este é um forte .,"[False, False, False, True, False]",Este é um carro .,"[False, False, False, True, False]",Estes são carros .,"[False, False, True, False]",Este é um carro normal .,"[False, False, False, True, True, False]",Este é um coiso forte .,"[False, False, False, True, True, False]",Este é um carro blindado .,"[False, False, False, True, True, False]",Estes são carros blindados .,"[False, False, True, True, False]",Este é um carro duro .,"[False, False, False, True, True, False]",Esta é uma viatura forte .,"[False, False, False, True, True, False]",Estas são viaturas fortes .,"[False, False, True, True, False]",Esta é uma viatura dura .,"[False, False, False, True, True, False]",Estas são viaturas duras .,"[False, False, True, True, False]",carro blindado,"[True, True]",Este é um conselho civil .,"[False, False, False, True, True, False]",Este é um serviço certo .,"[False, False, False, True, True, False]",Este é um pau-mandado .,"[False, False, False, True, False]",Este é um judeu americano .,"[False, False, False, True, True, False]",Este é um mau-olhado .,"[False, False, False, True, False]",Este é um pequeno chefe .,"[False, False, False, True, True, False]",Este é um centro espírita .,"[False, False, False, True, True, False]",Este é um plano regional .,"[False, False, False, True, True, False]",Este é um leite integral .,"[False, False, False, True, True, False]",Este é um mercado negro .,"[False, False, False, True, True, False]",carro,[True],forte,[True],viatura dura,"[True, True]"
carta aberta,carta aberta,"[True, True]",Esta é uma carta aberta .,"[False, False, False, True, True, False]",Estas são cartas abertas .,"[False, False, True, True, False]",Esta é uma carta aberta . ,"[True, True, True, True, True, True]",Esta é uma aberta .,"[False, False, False, True, False]",Esta é uma carta .,"[False, False, False, True, False]",Estas são cartas .,"[False, False, True, False]",Esta é uma carta normal .,"[False, False, False, True, True, False]",Esta é uma coisa aberta .,"[False, False, False, True, True, False]",Esta é uma carta pública .,"[False, False, False, True, True, False]",Estas são cartas públicas .,"[False, False, True, True, False]",Esta é uma carta acessível .,"[False, False, False, True, True, False]",Esta é uma correspondência aberta .,"[False, False, False, True, True, False]",Estas são correspondências abertas .,"[False, False, True, True, False]",Esta é uma correspondência acessível .,"[False, False, False, True, True, False]",Estas são correspondências acessíveis .,"[False, False, True, True, False]",carta pública,"[True, True]",Esta é uma entidade religiosa .,"[False, False, False, True, True, False]",Esta é uma classificação independente .,"[False, False, False, True, True, False]",Esta é uma carne vermelha .,"[False, False, False, True, True, False]",Esta é uma organização militante .,"[False, False, False, True, True, False]",Esta é uma tela plana .,"[False, False, False, True, True, False]",Esta é uma pressão negativa .,"[False, False, False, True, True, False]",Esta é uma farinha integral .,"[False, False, False, True, True, False]",Esta é uma vista fixa .,"[False, False, False, True, True, False]",Esta é uma alta-costura .,"[False, False, False, True, False]",Esta é uma longa data .,"[False, False, False, True, True, False]",carta,[True],aberta,[True],correspondência acessível,"[True, True]"
centro comercial,centro comercial,"[True, True]",Este é um centro comercial .,"[False, False, False, True, True, False]",Estes são centros comerciais .,"[False, False, True, True, False]",Este é um centro comercial . ,"[True, True, True, True, True, True]",Este é um comercial .,"[False, False, False, True, False]",Este é um centro .,"[False, False, False, True, False]",Estes são centros .,"[False, False, True, False]",Este é um centro normal .,"[False, False, False, True, True, False]",Este é um coiso comercial .,"[False, False, False, True, True, False]",Este é um shopping .,"[False, False, False, True, False]",Estes são shoppings .,"[False, False, True, False]",Este é um centro mercantil .,"[False, False, False, True, True, False]",Esta é uma congregação comercial .,"[False, False, False, True, True, False]",Estas são congregações comerciais .,"[False, False, True, True, False]",Esta é uma congregação mercantil .,"[False, False, False, True, True, False]",Estas são congregações mercantis .,"[False, False, True, True, False]",shopping,[True],Estes são recursos naturais .,"[False, False, True, True, False]",Estes são candidatos principais .,"[False, False, True, True, False]",Estes são buracos negros .,"[False, False, True, True, False]",Estes são materiais diferentes .,"[False, False, True, True, False]",Estes são gatos-pingados .,"[False, False, True, False]",Estes são artistas diferentes .,"[False, False, True, True, False]",Estes são vôos internacionais .,"[False, False, True, True, False]",Estes são direitos fundamentais .,"[False, False, True, True, False]",Estes são direitos humanos .,"[False, False, True, True, False]",Estes são acampamentos militares .,"[False, False, True, True, False]",centro,[True],comercial,[True],congregação mercantil,"[True, True]"
centro espírita,centro espírita,"[True, True]",Este é um centro espírita .,"[False, False, False, True, True, False]",Estes são centros espíritas .,"[False, False, True, True, False]",Este é um centro espírita . ,"[True, True, True, True, True, True]",Este é um espírita .,"[False, False, False, True, False]",Este é um centro .,"[False, False, False, True, False]",Estes são centros .,"[False, False, True, False]",Este é um centro normal .,"[False, False, False, True, True, False]",Este é um coiso espírita .,"[False, False, False, True, True, False]",Este é um centro religioso .,"[False, False, False, True, True, False]",Estes são centros religiosos .,"[False, False, True, True, False]",Este é um centro espiritista .,"[False, False, False, True, True, False]",Esta é uma congregação espírita .,"[False, False, False, True, True, False]",Estas são congregações espíritas .,"[False, False, True, True, False]",Esta é uma congregação espiritista .,"[False, False, False, True, True, False]",Estas são congregações espiritistas .,"[False, False, True, True, False]",centro religioso,"[True, True]",Este é um certo limite .,"[False, False, False, True, True, False]",Este é um certo passo .,"[False, False, False, True, True, False]",Este é um agente secreto .,"[False, False, False, True, True, False]",Este é um apoio organizativo .,"[False, False, False, True, True, False]",Este é um círculo vicioso .,"[False, False, False, True, True, False]",Este é um clube belga .,"[False, False, False, True, True, False]",Este é um curto-circuito .,"[False, False, False, True, False]",Este é um caso singular .,"[False, False, False, True, True, False]",Este é um governo federal .,"[False, False, False, True, True, False]",Este é um olho gordo .,"[False, False, False, True, True, False]",centro,[True],espírita,[True],congregação espiritista,"[True, True]"
cerca viva,cerca viva,"[True, True]",Esta é uma cerca viva .,"[False, False, False, True, True, False]",Estas são cercas vivas .,"[False, False, True, True, False]",Esta é uma cerca viva . ,"[True, True, True, True, True, True]",Esta é uma viva .,"[False, False, False, True, False]",Esta é uma cerca .,"[False, False, False, True, False]",Estas são cercas .,"[False, False, True, False]",Esta é uma cerca normal .,"[False, False, False, True, True, False]",Esta é uma coisa viva .,"[False, False, False, True, True, False]",Esta é uma cerca de plantas .,"[False, False, False, True, True, True, False]",Estas são cercas de plantas .,"[False, False, True, True, True, False]",Esta é uma cerca ativa .,"[False, False, False, True, True, False]",Esta é uma vedação viva .,"[False, False, False, True, True, False]",Estas são vedações vivas .,"[False, False, True, True, False]",Esta é uma vedação ativa .,"[False, False, False, True, True, False]",Estas são vedações ativas .,"[False, False, True, True, False]",cerca de plantas,"[True, True, True]",Esta é uma denúncia inepta .,"[False, False, False, True, True, False]",Esta é uma dentição áglifa .,"[False, False, False, True, True, False]",Esta é uma longa-metragem .,"[False, False, False, True, False]",Esta é uma retocolite ulcerativa .,"[False, False, False, True, True, False]",Esta é uma estrela cadente .,"[False, False, False, True, True, False]",Esta é uma dilação probatória .,"[False, False, False, True, True, False]",Esta é uma gripe suína .,"[False, False, False, True, True, False]",Esta é uma dentista local .,"[False, False, False, True, True, False]",Esta é uma água doce .,"[False, False, False, True, True, False]",Esta é uma maré alta .,"[False, False, False, True, True, False]",cerca,[True],viva,[True],vedação ativa,"[True, True]"
céu aberto,céu aberto,"[True, True]",Este é um céu aberto .,"[False, False, False, True, True, False]",Estes são céus abertos .,"[False, False, True, True, False]",Este é um céu aberto . ,"[True, True, True, True, True, True]",Este é um aberto .,"[False, False, False, True, False]",Este é um céu .,"[False, False, False, True, False]",Estes são céus .,"[False, False, True, False]",Este é um céu normal .,"[False, False, False, True, True, False]",Este é um coiso aberto .,"[False, False, False, True, True, False]",Este é um ar livre .,"[False, False, False, True, True, False]",Estes são ares livres .,"[False, False, True, True, False]",Este é um céu acessível .,"[False, False, False, True, True, False]",Este é um firmamento aberto .,"[False, False, False, True, True, False]",Estes são firmamentos abertos .,"[False, False, True, True, False]",Este é um firmamento acessível .,"[False, False, False, True, True, False]",Estes são firmamentos acessíveis .,"[False, False, True, True, False]",ar livre,"[True, True]",Este é um peso masculino .,"[False, False, False, True, True, False]",Este é um jogo criativo .,"[False, False, False, True, True, False]",Este é um juízo final .,"[False, False, False, True, True, False]",Este é um sucesso monstruoso .,"[False, False, False, True, True, False]",Este é um coração partido .,"[False, False, False, True, True, False]",Este é um jogo dramático .,"[False, False, False, True, True, False]",Este é um quadro-negro .,"[False, False, False, True, False]",Este é um lazer cultural .,"[False, False, False, True, True, False]",Este é um relógio biológico .,"[False, False, False, True, True, False]",Este é um voto secreto .,"[False, False, False, True, True, False]",céu,[True],aberto,[True],firmamento acessível,"[True, True]"
cheiro-verde,cheiro-verde,[True],Este é um cheiro-verde .,"[False, False, False, True, False]",Estes são cheiros verdes .,"[False, False, True, True, False]",Este é um cheiro-verde . ,"[True, True, True, True, True]",Este é um verde .,"[False, False, False, True, False]",Este é um cheiro .,"[False, False, False, True, False]",Estes são cheiros .,"[False, False, True, False]",Este é um cheiro normal .,"[False, False, False, True, True, False]",Este é um coiso verde .,"[False, False, False, True, True, False]",Este é um tempero .,"[False, False, False, True, False]",Estes são temperos .,"[False, False, True, False]",Este é um cheiro esverdeado .,"[False, False, False, True, True, False]",Este é um odor verde .,"[False, False, False, True, True, False]",Estes são odores verdes .,"[False, False, True, True, False]",Este é um odor esverdeado .,"[False, False, False, True, True, False]",Estes são odores esverdeados .,"[False, False, True, True, False]",tempero,[True],Este é um congestionamento crescente .,"[False, False, False, True, True, False]",Este é um ordenamento rural .,"[False, False, False, True, True, False]",Este é um pau-mandado .,"[False, False, False, True, False]",Este é um empobrecimento crescente .,"[False, False, False, True, True, False]",Este é um leite integral .,"[False, False, False, True, True, False]",Este é um caráter controverso .,"[False, False, False, True, True, False]",Este é um sistema político .,"[False, False, False, True, True, False]",Este é um intercâmbio econômico .,"[False, False, False, True, True, False]",Este é um pólo-aquático .,"[False, False, False, True, False]",Este é um círculo virtuoso .,"[False, False, False, True, True, False]",cheiro,[True],verde,[True],odor esverdeado,"[True, True]"
circuito integrado,circuito integrado,"[True, True]",Este é um circuito integrado .,"[False, False, False, True, True, False]",Estes são circuitos integrados .,"[False, False, True, True, False]",Este é um circuito integrado . ,"[True, True, True, True, True, True]",Este é um integrado .,"[False, False, False, True, False]",Este é um circuito .,"[False, False, False, True, False]",Estes são circuitos .,"[False, False, True, False]",Este é um circuito normal .,"[False, False, False, True, True, False]",Este é um coiso integrado .,"[False, False, False, True, True, False]",Este é um chip .,"[False, False, False, True, False]",Estes são chips .,"[False, False, True, False]",Este é um circuito incluído .,"[False, False, False, True, True, False]",Este é um contorno integrado .,"[False, False, False, True, True, False]",Estes são contornos integrados .,"[False, False, True, True, False]",Este é um contorno incluído .,"[False, False, False, True, True, False]",Estes são contornos incluídos .,"[False, False, True, True, False]",chip,[True],Este é um estabelecimento estável .,"[False, False, False, True, True, False]",Este é um restaurante típico .,"[False, False, False, True, True, False]",Este é um primeiro ministro .,"[False, False, False, True, True, False]",Este é um céu eterno .,"[False, False, False, True, True, False]",Este é um sangue frio .,"[False, False, False, True, True, False]",Este é um elenco talentoso .,"[False, False, False, True, True, False]",Este é um pente fino .,"[False, False, False, True, True, False]",Este é um terrível paradoxo .,"[False, False, False, True, True, False]",Este é um príncipe encantado .,"[False, False, False, True, True, False]",Este é um livro aberto .,"[False, False, False, True, True, False]",circuito,[True],integrado,[True],contorno incluído,"[True, True]"
círculo vicioso,círculo vicioso,"[True, True]",Este é um círculo vicioso .,"[False, False, False, True, True, False]",Estes são círculos viciosos .,"[False, False, True, True, False]",Este é um círculo vicioso . ,"[True, True, True, True, True, True]",Este é um vicioso .,"[False, False, False, True, False]",Este é um círculo .,"[False, False, False, True, False]",Estes são círculos .,"[False, False, True, False]",Este é um círculo normal .,"[False, False, False, True, True, False]",Este é um coiso vicioso .,"[False, False, False, True, True, False]",Este é um ciclo vicioso .,"[False, False, False, True, True, False]",Estes são ciclos viciosos .,"[False, False, True, True, False]",Este é um círculo viciado .,"[False, False, False, True, True, False]",Esta é uma circunferência viciosa .,"[False, False, False, True, True, False]",Estas são circunferências viciosas .,"[False, False, True, True, False]",Esta é uma circunferência viciada .,"[False, False, False, True, True, False]",Estas são circunferências viciadas .,"[False, False, True, True, False]",ciclo vicioso,"[True, True]",Este é um hospital católico .,"[False, False, False, True, True, False]",Este é um complexo penitenciário .,"[False, False, False, True, True, False]",Este é um círculo virtuoso .,"[False, False, False, True, True, False]",Este é um rapaz nervoso .,"[False, False, False, True, True, False]",Este é um cheiro-verde .,"[False, False, False, True, False]",Este é um risco intolerável .,"[False, False, False, True, True, False]",Este é um novo mundo .,"[False, False, False, True, True, False]",Este é um fenômeno pop .,"[False, False, False, True, True, False]",Este é um livre-docente .,"[False, False, False, True, False]",Este é um pau-mandado .,"[False, False, False, True, False]",círculo,[True],vicioso,[True],circunferência viciada,"[True, True]"
círculo virtuoso,círculo virtuoso,"[True, True]",Este é um círculo virtuoso .,"[False, False, False, True, True, False]",Estes são círculos virtuosos .,"[False, False, True, True, False]",Este é um círculo virtuoso . ,"[True, True, True, True, True, True]",Este é um virtuoso .,"[False, False, False, True, False]",Este é um círculo .,"[False, False, False, True, False]",Estes são círculos .,"[False, False, True, False]",Este é um círculo normal .,"[False, False, False, True, True, False]",Este é um coiso virtuoso .,"[False, False, False, True, True, False]",Este é um ciclo virtuoso .,"[False, False, False, True, True, False]",Estes são ciclos virtuosos .,"[False, False, True, True, False]",Este é um círculo honrado .,"[False, False, False, True, True, False]",Esta é uma circunferência virtuosa .,"[False, False, False, True, True, False]",Estas são circunferências virtuosas .,"[False, False, True, True, False]",Esta é uma circunferência honrada .,"[False, False, False, True, True, False]",Estas são circunferências honradas .,"[False, False, True, True, False]",ciclo virtuoso,"[True, True]",Este é um conhecimento médico .,"[False, False, False, True, True, False]",Este é um contrato leonino .,"[False, False, False, True, True, False]",Este é um mercado negro .,"[False, False, False, True, True, False]",Este é um historiador holandês .,"[False, False, False, True, True, False]",Este é um ar condicionado .,"[False, False, False, True, True, False]",Este é um péssimo casamento .,"[False, False, False, True, True, False]",Este é um céu aberto .,"[False, False, False, True, True, False]",Este é um circuito oscilador .,"[False, False, False, True, True, False]",Este é um exame clínico .,"[False, False, False, True, True, False]",Este é um olho nu .,"[False, False, False, True, True, False]",círculo,[True],virtuoso,[True],circunferência honrada,"[True, True]"
classe executiva,classe executiva,"[True, True]",Esta é uma classe executiva .,"[False, False, False, True, True, False]",Estas são classes executivas .,"[False, False, True, True, False]",Esta é uma classe executiva . ,"[True, True, True, True, True, True]",Esta é uma executiva .,"[False, False, False, True, False]",Esta é uma classe .,"[False, False, False, True, False]",Estas são classes .,"[False, False, True, False]",Esta é uma classe normal .,"[False, False, False, True, True, False]",Esta é uma coisa executiva .,"[False, False, False, True, True, False]",Esta é uma primeira classe .,"[False, False, False, True, True, False]",Estas são primeiras classes .,"[False, False, True, True, False]",Esta é uma classe administradora .,"[False, False, False, True, True, False]",Esta é uma categoria executiva .,"[False, False, False, True, True, False]",Estas são categorias executivas .,"[False, False, True, True, False]",Esta é uma categoria administradora .,"[False, False, False, True, True, False]",Estas são categorias administradoras .,"[False, False, True, True, False]",primeira classe,"[True, True]",Esta é uma excelente comédia .,"[False, False, False, True, True, False]",Esta é uma lei interpretativa .,"[False, False, False, True, True, False]",Esta é uma companhia aérea .,"[False, False, False, True, True, False]",Esta é uma decisão unilateral .,"[False, False, False, True, True, False]",Esta é uma longa-metragem .,"[False, False, False, True, False]",Esta é uma capacidade estratégica .,"[False, False, False, True, True, False]",Esta é uma terceira idade .,"[False, False, False, True, True, False]",Esta é uma recente votação .,"[False, False, False, True, True, False]",Esta é uma planta baixa .,"[False, False, False, True, True, False]",Esta é uma caixa-preta .,"[False, False, False, True, False]",classe,[True],executiva,[True],categoria administradora,"[True, True]"
colégio militar,colégio militar,"[True, True]",Este é um colégio militar .,"[False, False, False, True, True, False]",Estes são colégios militares .,"[False, False, True, True, False]",Este é um colégio militar . ,"[True, True, True, True, True, True]",Este é um militar .,"[False, False, False, True, False]",Este é um colégio .,"[False, False, False, True, False]",Estes são colégios .,"[False, False, True, False]",Este é um colégio normal .,"[False, False, False, True, True, False]",Este é um coiso militar .,"[False, False, False, True, True, False]",Esta é uma escola militar .,"[False, False, False, True, True, False]",Estas são escolas militares .,"[False, False, True, True, False]",Este é um colégio bélico .,"[False, False, False, True, True, False]",Esta é uma escola militar .,"[False, False, False, True, True, False]",Estas são escolas militares .,"[False, False, True, True, False]",Esta é uma escola bélica .,"[False, False, False, True, True, False]",Estas são escolas bélicas .,"[False, False, True, True, False]",escola militar,"[True, True]",Este é um apoio verdadeiro .,"[False, False, False, True, True, False]",Este é um estado viável .,"[False, False, False, True, True, False]",Este é um tapete vermelho .,"[False, False, False, True, True, False]",Este é um esquema especial .,"[False, False, False, True, True, False]",Este é um regime político .,"[False, False, False, True, True, False]",Este é um esclarecimento importante .,"[False, False, False, True, True, False]",Este é um curto-circuito .,"[False, False, False, True, False]",Este é um direito parlamentar .,"[False, False, False, True, True, False]",Este é um peso morto .,"[False, False, False, True, True, False]",Este é um príncipe encantado .,"[False, False, False, True, True, False]",colégio,[True],militar,[True],escola bélica,"[True, True]"
